from,to,interaction_type
TP53BP1,MDC1,protein-protein
PRKAR1B,C01005,protein-small_molecule
PRKAR1B,C00076,protein-small_molecule
PRKAR1B,C00076,protein-small_molecule
PRKAR1B,C00305,protein-small_molecule
PRKAR1B,C00305,protein-small_molecule
PRKAR1B,C00002,protein-small_molecule
PRKAR1B,C00575,protein-small_molecule
PRKAR1B,C00044,protein-small_molecule
PRKAR1B,C05822,protein-small_molecule
PRKAR1B,C05822,protein-small_molecule
PRKAR1B,C01005,protein-small_molecule
PRKAR1B,C05335,protein-small_molecule
APC,C00002,protein-small_molecule
APC,C00008,protein-small_molecule
APC,AXIN1,protein-protein
GFAP_Y14,GFAP,phosphosite-protein
GFAP_Y14,GFAP,phosphosite-protein
DNM1L,C00282,protein-small_molecule
DNM1L,C00282,protein-small_molecule
DNM1L,C00305,protein-small_molecule
DNM1L,C00305,protein-small_molecule
DNM1L,C01328,protein-small_molecule
DNM1L,C01328,protein-small_molecule
DNM1L,C00044,protein-small_molecule
DNM1L,C00035,protein-small_molecule
STMN1,C00076,protein-small_molecule
STMN1,C00076,protein-small_molecule
NAB2_S171,NAB2,phosphosite-protein
NAB2_S171,NAB2,phosphosite-protein
SNTA1_S189,SNTA1,phosphosite-protein
SPHK2,C00282,protein-small_molecule
SPHK2,C00282,protein-small_molecule
SPHK2,C01328,protein-small_molecule
SPHK2,C01328,protein-small_molecule
SPHK2,C00002,protein-small_molecule
SPHK2,C00008,protein-small_molecule
SPHK2,C00836,protein-small_molecule
SPHK2,C00319,protein-small_molecule
SPHK2,C06124,protein-small_molecule
DNAJC6,C01328,protein-small_molecule
DNAJC6,C01328,protein-small_molecule
DNAJC6,C00002,protein-small_molecule
DNAJC6,C00008,protein-small_molecule
DNAJC6,C00044,protein-small_molecule
DNAJC6,C00035,protein-small_molecule
AKAP12_S627,AKAP12,phosphosite-protein
AKAP12_S627,AKAP12,phosphosite-protein
GATAD2B,HDAC1,protein-protein
PGK1_Y196,PGK1,phosphosite-protein
CDH10,C00076,protein-small_molecule
CDH10,C00076,protein-small_molecule
ADCY9,C00026,protein-small_molecule
ADCY9,C00026,protein-small_molecule
ADCY9,C00334,protein-small_molecule
ADCY9,C00334,protein-small_molecule
ADCY9,C01996,protein-small_molecule
ADCY9,C01996,protein-small_molecule
ADCY9,C00076,protein-small_molecule
ADCY9,C00076,protein-small_molecule
ADCY9,C05851,protein-small_molecule
ADCY9,C05851,protein-small_molecule
ADCY9,C00302,protein-small_molecule
ADCY9,C03758,protein-small_molecule
ADCY9,C03758,protein-small_molecule
ADCY9,C00388,protein-small_molecule
ADCY9,C00388,protein-small_molecule
ADCY9,C00305,protein-small_molecule
ADCY9,C00305,protein-small_molecule
ADCY9,C01598,protein-small_molecule
ADCY9,C01598,protein-small_molecule
ADCY9,C01328,protein-small_molecule
ADCY9,C01328,protein-small_molecule
ADCY9,C05332,protein-small_molecule
ADCY9,C05332,protein-small_molecule
ADCY9,C00042,protein-small_molecule
ADCY9,C00042,protein-small_molecule
ADCY9,C08325,protein-small_molecule
ADCY9,C08469,protein-small_molecule
ADCY9,C08469,protein-small_molecule
ADCY9,C07481,protein-small_molecule
ADCY9,C07481,protein-small_molecule
ADCY9,C18369,protein-small_molecule
ADCY9,C18369,protein-small_molecule
ADCY9,C07592,protein-small_molecule
ADCY9,C07592,protein-small_molecule
ADCY9,C08797,protein-small_molecule
ADCY9,C06533,protein-small_molecule
ADCY9,C06533,protein-small_molecule
ADCY9,C08778,protein-small_molecule
ADCY9,C00780,protein-small_molecule
ADCY9,C00780,protein-small_molecule
ADCY9,C00002,protein-small_molecule
ADCY9,C00918,protein-small_molecule
ADCY9,C19317,protein-small_molecule
ADCY9,C19317,protein-small_molecule
ADCY9,C00008,protein-small_molecule
ADCY9,C00575,protein-small_molecule
ADCY9,C00075,protein-small_molecule
ADCY9,C00044,protein-small_molecule
ADCY9,C00035,protein-small_molecule
ADCY9,C03990,protein-small_molecule
ADCY9,C03990,protein-small_molecule
ADCY9,C02528,protein-small_molecule
ADCY9,C00942,protein-small_molecule
ADCY9,C00212,protein-small_molecule
ADCY9,C00695,protein-small_molecule
ADCY9,C04483,protein-small_molecule
ADCY9,C09592,protein-small_molecule
ADCY9,C00547,protein-small_molecule
ADCY9,C01451,protein-small_molecule
ADCY9,C06186,protein-small_molecule
ADCY9,C09529,protein-small_molecule
ADCY9,C00696,protein-small_molecule
ADCY9,C05103,protein-small_molecule
ADCY9,C02166,protein-small_molecule
ADCY9,C05951,protein-small_molecule
ADCY9,C05952,protein-small_molecule
ADCY9,C06314,protein-small_molecule
ADCY9,C09345,protein-small_molecule
ADCY9,C13856,protein-small_molecule
ADCY9,C01312,protein-small_molecule
ADCY9,C14732,protein-small_molecule
ADCY9,C06124,protein-small_molecule
TRA2B_T201,TRA2B,phosphosite-protein
DEK_S32,DEK,phosphosite-protein
TMPO_T74,TMPO,phosphosite-protein
UBTF_S389,UBTF,phosphosite-protein
UBTF_S389,UBTF,phosphosite-protein
UBTF_S389,UBTF,phosphosite-protein
UBTF_S389,UBTF,phosphosite-protein
UBTF_S389,UBTF,phosphosite-protein
NDEL1,C01328,protein-small_molecule
NDEL1,C01328,protein-small_molecule
NDEL1,C00002,protein-small_molecule
NDEL1,C00008,protein-small_molecule
NDEL1,C00010,protein-small_molecule
NDEL1,C00024,protein-small_molecule
ATRX,C00002,protein-small_molecule
ATRX,DAXX,protein-protein
DYNC1H1,C00002,protein-small_molecule
DYNC1H1,C00008,protein-small_molecule
DYNC1H1,C00044,protein-small_molecule
ELMO1,C00044,protein-small_molecule
ELMO1,C00035,protein-small_molecule
UBTF,C00002,protein-small_molecule
UBTF,C00075,protein-small_molecule
UBTF,C00063,protein-small_molecule
UBTF,C00044,protein-small_molecule
UBTF,C00010,protein-small_molecule
UBTF,C00024,protein-small_molecule
GIGYF1_S538,GIGYF1,phosphosite-protein
GIGYF1_S538,GIGYF1,phosphosite-protein
TUBA4A,C00002,protein-small_molecule
TUBA4A,C00008,protein-small_molecule
TUBA4A,C00044,protein-small_molecule
TUBA4A,C07620,protein-small_molecule
RPS6,C00002,protein-small_molecule
RPS6,C00008,protein-small_molecule
RPS6,C00044,protein-small_molecule
RPS6,C00035,protein-small_molecule
RPS6,C07909,protein-small_molecule
PPP1R9A_S338,PPP1R9A,phosphosite-protein
CACNG8,C00076,protein-small_molecule
CACNG8,C00076,protein-small_molecule
CACNG8,C00002,protein-small_molecule
CACNG8,C00008,protein-small_molecule
SRF_S224,SRF,phosphosite-protein
SRF_S224,SRF,phosphosite-protein
SRF_S224,SRF,phosphosite-protein
SRF_S224,SRF,phosphosite-protein
SRF_S224,SRF,phosphosite-protein
SRF_S224,SRF,phosphosite-protein
PELP1,SENP3,protein-protein
PELP1,EP300,protein-protein
TRA2B_S95,TRA2B,phosphosite-protein
ATP1A1,C00282,protein-small_molecule
ATP1A1,C00282,protein-small_molecule
ATP1A1,C00238,protein-small_molecule
ATP1A1,C00238,protein-small_molecule
ATP1A1,C00305,protein-small_molecule
ATP1A1,C00305,protein-small_molecule
ATP1A1,C01330,protein-small_molecule
ATP1A1,C01330,protein-small_molecule
ATP1A1,C01328,protein-small_molecule
ATP1A1,C01328,protein-small_molecule
ATP1A1,C00002,protein-small_molecule
ATP1A1,C00008,protein-small_molecule
ATP1A1,C01443,protein-small_molecule
CKB,C00282,protein-small_molecule
CKB,C00282,protein-small_molecule
CKB,C00002,protein-small_molecule
CKB,C00008,protein-small_molecule
SIRT2,C03582,protein-small_molecule
SIRT2,FOXO1,protein-protein
PIK3R2_S262,PIK3R2,phosphosite-protein
PIK3R2_S262,PIK3R2,phosphosite-protein
TACC2_S2317,TACC2,phosphosite-protein
TACC2_S2317,TACC2,phosphosite-protein
GRB10,C00002,protein-small_molecule
GRB10,C00008,protein-small_molecule
TJP1,C00002,protein-small_molecule
TJP1,C00008,protein-small_molecule
TJP1,CGN,protein-protein
U2AF2,C00002,protein-small_molecule
FASN,C00011,protein-small_molecule
FASN,C00011,protein-small_molecule
FASN,C00282,protein-small_molecule
FASN,C00282,protein-small_molecule
FASN,C01328,protein-small_molecule
FASN,C01328,protein-small_molecule
FASN,C00249,protein-small_molecule
FASN,C00249,protein-small_molecule
FASN,C00005,protein-small_molecule
FASN,C00006,protein-small_molecule
FASN,C00002,protein-small_molecule
FASN,C00008,protein-small_molecule
FASN,C00010,protein-small_molecule
FASN,C00024,protein-small_molecule
VAMP2,C00334,protein-small_molecule
VAMP2,C00334,protein-small_molecule
VAMP2,C01996,protein-small_molecule
VAMP2,C01996,protein-small_molecule
VAMP2,C00014,protein-small_molecule
VAMP2,C00014,protein-small_molecule
VAMP2,C00076,protein-small_molecule
VAMP2,C00076,protein-small_molecule
VAMP2,C00302,protein-small_molecule
VAMP2,C03758,protein-small_molecule
VAMP2,C03758,protein-small_molecule
VAMP2,C00282,protein-small_molecule
VAMP2,C00282,protein-small_molecule
VAMP2,C01328,protein-small_molecule
VAMP2,C01328,protein-small_molecule
VAMP2,C00780,protein-small_molecule
VAMP2,C00780,protein-small_molecule
VAMP2,C00002,protein-small_molecule
VAMP2,C00064,protein-small_molecule
VAMP2,C00008,protein-small_molecule
VAMP2,C00044,protein-small_molecule
VAMP2,C00010,protein-small_molecule
VAMP2,C00547,protein-small_molecule
VAMP2,C01245,protein-small_molecule
VAMP2,C00024,protein-small_molecule
KLC2_S582,KLC2,phosphosite-protein
CTPS2_S568,CTPS2,phosphosite-protein
AP2M1,C01328,protein-small_molecule
AP2M1,C01328,protein-small_molecule
AP2M1,C00002,protein-small_molecule
AP2M1,C00008,protein-small_molecule
AP2M1,C00044,protein-small_molecule
AP2M1,C00035,protein-small_molecule
MAP2_T148,MAP2,phosphosite-protein
MAP2_T148,MAP2,phosphosite-protein
MAP2_T148,MAP2,phosphosite-protein
MAP2_T148,MAP2,phosphosite-protein
AKAP12_S696,AKAP12,phosphosite-protein
AKAP12_S696,AKAP12,phosphosite-protein
SPTBN1_T346,SPTBN1,phosphosite-protein
SPTBN1_T346,SPTBN1,phosphosite-protein
SPTBN1_T346,SPTBN1,phosphosite-protein
ANAPC2,C01328,protein-small_molecule
ANAPC2,C01328,protein-small_molecule
ANAPC2,C00002,protein-small_molecule
ANAPC2,C00008,protein-small_molecule
ACAP2_S521,ACAP2,phosphosite-protein
ACAP2_S521,ACAP2,phosphosite-protein
DPYSL3_T508,DPYSL3,phosphosite-protein
STRN3_S229,STRN3,phosphosite-protein
PHKB_S700,PHKB,phosphosite-protein
TRIM24_S808,TRIM24,phosphosite-protein
ERCC5_S384,ERCC5,phosphosite-protein
CACNB1_S417,CACNB1,phosphosite-protein
CACNB1_S417,CACNB1,phosphosite-protein
CACNB1_S417,CACNB1,phosphosite-protein
COX4I1,C00282,protein-small_molecule
COX4I1,C00282,protein-small_molecule
COX4I1,C01328,protein-small_molecule
COX4I1,C01328,protein-small_molecule
COX4I1,C00007,protein-small_molecule
COX4I1,C00007,protein-small_molecule
COX4I1,C00695,protein-small_molecule
FASN_S1411,FASN,phosphosite-protein
SPHK2_S387,SPHK2,phosphosite-protein
SPHK2_S387,SPHK2,phosphosite-protein
PPIG_S717,PPIG,phosphosite-protein
CACNG2,C00076,protein-small_molecule
CACNG2,C00076,protein-small_molecule
CACNG2,C00002,protein-small_molecule
CACNG2,C00008,protein-small_molecule
SPTBN1_S2169,SPTBN1,phosphosite-protein
SPTBN1_S2169,SPTBN1,phosphosite-protein
CANX_S583,CANX,phosphosite-protein
CANX_S583,CANX,phosphosite-protein
DYNC1I1,C00002,protein-small_molecule
DYNC1I1,C00008,protein-small_molecule
DYNC1I1,C00044,protein-small_molecule
DPYSL5,C00282,protein-small_molecule
DPYSL5,C00282,protein-small_molecule
DPYSL5,C01328,protein-small_molecule
DPYSL5,C01328,protein-small_molecule
DPYSL5,C00002,protein-small_molecule
DPYSL5,C00008,protein-small_molecule
SPTBN1_T2335,SPTBN1,phosphosite-protein
NME2,C00002,protein-small_molecule
NME2,C00008,protein-small_molecule
NME2,C00015,protein-small_molecule
NME2,C00075,protein-small_molecule
NME2,C00063,protein-small_molecule
NME2,C00044,protein-small_molecule
NME2,C00035,protein-small_molecule
NME2,C00131,protein-small_molecule
NME2,C00459,protein-small_molecule
NME2,C00458,protein-small_molecule
NME2,C00286,protein-small_molecule
HCN2_S868,HCN2,phosphosite-protein
ANKRD17_S2045,ANKRD17,phosphosite-protein
ANKRD17_S2045,ANKRD17,phosphosite-protein
ARPC5_S77,ARPC5,phosphosite-protein
CACNG3,C00076,protein-small_molecule
CACNG3,C00076,protein-small_molecule
CACNG3,C00002,protein-small_molecule
CACNG3,C00008,protein-small_molecule
ENO1_S263,ENO1,phosphosite-protein
STMN2_S62,STMN2,phosphosite-protein
STMN2_S62,STMN2,phosphosite-protein
CAV2_Y27,CAV2,phosphosite-protein
ADD3_S423,ADD3,phosphosite-protein
RBM15_S51,RBM15,phosphosite-protein
FRY_S2487,FRY,phosphosite-protein
USP8,C01328,protein-small_molecule
USP8,C01328,protein-small_molecule
USP8,C00002,protein-small_molecule
USP8,C00008,protein-small_molecule
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
BAD_S99,BAD,phosphosite-protein
WRNIP1_S91,WRNIP1,phosphosite-protein
SET_S7,SET,phosphosite-protein
SET_S7,SET,phosphosite-protein
CAAP1_S203,CAAP1,phosphosite-protein
TNIP1_S403,TNIP1,phosphosite-protein
TNIP1_S403,TNIP1,phosphosite-protein
PLCB1,C01996,protein-small_molecule
PLCB1,C01996,protein-small_molecule
PLCB1,C00246,protein-small_molecule
PLCB1,C00246,protein-small_molecule
PLCB1,C00076,protein-small_molecule
PLCB1,C00076,protein-small_molecule
PLCB1,C00698,protein-small_molecule
PLCB1,C00698,protein-small_molecule
PLCB1,C01602,protein-small_molecule
PLCB1,C00302,protein-small_molecule
PLCB1,C00388,protein-small_molecule
PLCB1,C00388,protein-small_molecule
PLCB1,C00282,protein-small_molecule
PLCB1,C00282,protein-small_molecule
PLCB1,C01328,protein-small_molecule
PLCB1,C01328,protein-small_molecule
PLCB1,C00249,protein-small_molecule
PLCB1,C00249,protein-small_molecule
PLCB1,C00163,protein-small_molecule
PLCB1,C00163,protein-small_molecule
PLCB1,C02679,protein-small_molecule
PLCB1,C02679,protein-small_molecule
PLCB1,C00780,protein-small_molecule
PLCB1,C00780,protein-small_molecule
PLCB1,C00002,protein-small_molecule
PLCB1,C00047,protein-small_molecule
PLCB1,C00008,protein-small_molecule
PLCB1,C00015,protein-small_molecule
PLCB1,C00062,protein-small_molecule
PLCB1,C00044,protein-small_molecule
PLCB1,C00803,protein-small_molecule
PLCB1,C00803,protein-small_molecule
PLCB1,C01585,protein-small_molecule
PLCB1,C01585,protein-small_molecule
PLCB1,C00035,protein-small_molecule
PLCB1,C16537,protein-small_molecule
PLCB1,C16537,protein-small_molecule
PLCB1,C00547,protein-small_molecule
PLCB1,C01245,protein-small_molecule
PLCB1,C00219,protein-small_molecule
PLCB1,C00712,protein-small_molecule
PLCB1,C05103,protein-small_molecule
PLCB1,C02165,protein-small_molecule
PLCB1,C02166,protein-small_molecule
PLCB1,C02198,protein-small_molecule
PLCB1,C05951,protein-small_molecule
PLCB1,C05952,protein-small_molecule
PLCB1,C06314,protein-small_molecule
HERC2_S4811,HERC2,phosphosite-protein
DUSP6_S331,DUSP6,phosphosite-protein
DUSP6_S331,DUSP6,phosphosite-protein
DUSP6_S331,DUSP6,phosphosite-protein
DUSP6_S331,DUSP6,phosphosite-protein
DUSP6_S331,DUSP6,phosphosite-protein
DUSP6_S331,DUSP6,phosphosite-protein
DUSP6_S331,DUSP6,phosphosite-protein
DUSP6_S331,DUSP6,phosphosite-protein
DUSP6_S331,DUSP6,phosphosite-protein
NF1,SMARCC1,protein-protein
PPIG_S356,PPIG,phosphosite-protein
CLASP1_S1113,CLASP1,phosphosite-protein
CLASP1_S1113,CLASP1,phosphosite-protein
CLASP1_S1113,CLASP1,phosphosite-protein
CLASP1_S1113,CLASP1,phosphosite-protein
CLASP1_S1113,CLASP1,phosphosite-protein
CLASP1_S1113,CLASP1,phosphosite-protein
PPFIA1_S693,PPFIA1,phosphosite-protein
SON_T1555,SON,phosphosite-protein
PACS1_S774,PACS1,phosphosite-protein
PACS1_S774,PACS1,phosphosite-protein
CTNND2_S276,CTNND2,phosphosite-protein
CTNND2_S276,CTNND2,phosphosite-protein
CTNND2_S276,CTNND2,phosphosite-protein
PCM1_S1776,PCM1,phosphosite-protein
SLC9A1,C00076,protein-small_molecule
SLC9A1,C00076,protein-small_molecule
SLC9A1,C00282,protein-small_molecule
SLC9A1,C00282,protein-small_molecule
SLC9A1,C01330,protein-small_molecule
SLC9A1,C01330,protein-small_molecule
PPIG_S687,PPIG,phosphosite-protein
TPPP_S35,TPPP,phosphosite-protein
PPM1J_S76,PPM1J,phosphosite-protein
RTN4_S181,RTN4,phosphosite-protein
RTN4_S181,RTN4,phosphosite-protein
ZBTB7A_S525,ZBTB7A,phosphosite-protein
TRA2B_S97,TRA2B,phosphosite-protein
HERC1_T2701,HERC1,phosphosite-protein
HERC1_T2701,HERC1,phosphosite-protein
HERC1_T2701,HERC1,phosphosite-protein
CNKSR2_S505,CNKSR2,phosphosite-protein
NEDD4L,C01330,protein-small_molecule
NEDD4L,C01330,protein-small_molecule
NEDD4L,C00002,protein-small_molecule
UBA1_S13,UBA1,phosphosite-protein
MYH9_S1943,MYH9,phosphosite-protein
CNP,C00282,protein-small_molecule
CNP,C00282,protein-small_molecule
CNP,C01328,protein-small_molecule
CNP,C01328,protein-small_molecule
SLC9A3R1_S280,SLC9A3R1,phosphosite-protein
SLC9A3R1_S280,SLC9A3R1,phosphosite-protein
STT3B_S29,STT3B,phosphosite-protein
PIK3R2_S263,PIK3R2,phosphosite-protein
PIK3R2_S263,PIK3R2,phosphosite-protein
PIK3R2_S263,PIK3R2,phosphosite-protein
GAB2,C00002,protein-small_molecule
GAB2,C00008,protein-small_molecule
RPS6KA4,C00002,protein-small_molecule
RPS6KA4,C00008,protein-small_molecule
PDAP1_S57,PDAP1,phosphosite-protein
TTYH3,C00698,protein-small_molecule
TTYH3,C00698,protein-small_molecule
EAPP_S109,EAPP,phosphosite-protein
EAPP_S111,EAPP,phosphosite-protein
UBA1_S835,UBA1,phosphosite-protein
CTNND2_T1056,CTNND2,phosphosite-protein
CTNND2_T1056,CTNND2,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
BAD_S75,BAD,phosphosite-protein
RANGAP1,C01328,protein-small_molecule
RANGAP1,C01328,protein-small_molecule
RANGAP1,C00002,protein-small_molecule
RANGAP1,C00008,protein-small_molecule
RANGAP1,C00044,protein-small_molecule
RANGAP1,C00035,protein-small_molecule
RANGAP1,C00010,protein-small_molecule
RANGAP1,C00024,protein-small_molecule
RGS19_S213,RGS19,phosphosite-protein
RGS19_S213,RGS19,phosphosite-protein
RGS19_S213,RGS19,phosphosite-protein
BAD_S134,BAD,phosphosite-protein
BAD_S134,BAD,phosphosite-protein
BAD_S134,BAD,phosphosite-protein
BAD_S134,BAD,phosphosite-protein
BAD_S134,BAD,phosphosite-protein
BAD_S134,BAD,phosphosite-protein
BAD_S134,BAD,phosphosite-protein
BAD_S134,BAD,phosphosite-protein
BAD_S134,BAD,phosphosite-protein
BAD_S134,BAD,phosphosite-protein
BAD_S134,BAD,phosphosite-protein
BAD_S134,BAD,phosphosite-protein
BAD_S134,BAD,phosphosite-protein
BAD_S134,BAD,phosphosite-protein
BAD_S134,BAD,phosphosite-protein
BAD_S134,BAD,phosphosite-protein
BAD_S134,BAD,phosphosite-protein
SPTBN1_S2161,SPTBN1,phosphosite-protein
SNTB1_T214,SNTB1,phosphosite-protein
PGK1_S203,PGK1,phosphosite-protein
PGK1_S203,PGK1,phosphosite-protein
KCNH2_S1137,KCNH2,phosphosite-protein
MAP2_T130,MAP2,phosphosite-protein
MAP2_T130,MAP2,phosphosite-protein
MAP2_T130,MAP2,phosphosite-protein
MAP2_T130,MAP2,phosphosite-protein
EIF5,C00002,protein-small_molecule
EIF5,C00008,protein-small_molecule
EIF5,C00044,protein-small_molecule
EIF5,C00035,protein-small_molecule
ADD2_S617,ADD2,phosphosite-protein
ADD2_S617,ADD2,phosphosite-protein
TSC2,C00002,protein-small_molecule
TSC2,C00008,protein-small_molecule
TSC2,C00044,protein-small_molecule
TSC2,C00035,protein-small_molecule
MAP2,C11228,protein-small_molecule
PARD6A,C00002,protein-small_molecule
PARD6A,C00008,protein-small_molecule
OXSR1_S339,OXSR1,phosphosite-protein
RPS27_S11,RPS27,phosphosite-protein
RPS27_S11,RPS27,phosphosite-protein
ITIH2_S60,ITIH2,phosphosite-protein
SND1_S426,SND1,phosphosite-protein
SND1_S426,SND1,phosphosite-protein
BCKDHA_S347,BCKDHA,phosphosite-protein
PPIG_S290,PPIG,phosphosite-protein
PRKAB1_S181,PRKAB1,phosphosite-protein
PRKAB1_S181,PRKAB1,phosphosite-protein
SPTBN1_S2102,SPTBN1,phosphosite-protein
TAOK1_S421,TAOK1,phosphosite-protein
RSRC2_S32,RSRC2,phosphosite-protein
BASP1_T31,BASP1,phosphosite-protein
NGEF,C00044,protein-small_molecule
NGEF,C00035,protein-small_molecule
KCNB1,C00238,protein-small_molecule
KCNB1,C00238,protein-small_molecule
KCNB1,C00575,protein-small_molecule
PTEN,C00027,protein-small_molecule
PTEN,C00027,protein-small_molecule
PTEN,C00305,protein-small_molecule
PTEN,C00305,protein-small_molecule
PTEN,C01328,protein-small_molecule
PTEN,C01328,protein-small_molecule
PTEN,C00002,protein-small_molecule
PTEN,C00008,protein-small_molecule
PTEN,C01661,protein-small_molecule
PTEN,C01272,protein-small_molecule
PTEN,C01243,protein-small_molecule
PTEN,C01245,protein-small_molecule
PTEN,C03582,protein-small_molecule
MDH1_S242,MDH1,phosphosite-protein
CRYAB_S19,CRYAB,phosphosite-protein
NUP153,C00738,protein-small_molecule
NUP153,C01096,protein-small_molecule
NUP153,C00002,protein-small_molecule
NUP153,C00008,protein-small_molecule
NUP153,C00044,protein-small_molecule
NUP153,C00035,protein-small_molecule
NUP153,C00085,protein-small_molecule
NUP153,C03998,protein-small_molecule
NUP153,C03998,protein-small_molecule
VIM_S56,VIM,phosphosite-protein
VIM_S56,VIM,phosphosite-protein
VIM_S56,VIM,phosphosite-protein
VIM_S56,VIM,phosphosite-protein
VIM_S56,VIM,phosphosite-protein
VIM_S56,VIM,phosphosite-protein
VIM_S56,VIM,phosphosite-protein
VIM_S56,VIM,phosphosite-protein
VIM_S56,VIM,phosphosite-protein
PCM1_S65,PCM1,phosphosite-protein
PTS_S19,PTS,phosphosite-protein
PTS_S19,PTS,phosphosite-protein
USP20_S134,USP20,phosphosite-protein
SOS1_S1275,SOS1,phosphosite-protein
SOS1_S1275,SOS1,phosphosite-protein
SOS1_S1275,SOS1,phosphosite-protein
SOS1_S1275,SOS1,phosphosite-protein
SOS1_S1275,SOS1,phosphosite-protein
SOS1_S1275,SOS1,phosphosite-protein
SOS1_S1275,SOS1,phosphosite-protein
SOS1_S1275,SOS1,phosphosite-protein
PHF6_S155,PHF6,phosphosite-protein
USP16_S552,USP16,phosphosite-protein
USP16_S552,USP16,phosphosite-protein
USP16_S552,USP16,phosphosite-protein
USP16_S552,USP16,phosphosite-protein
USP16_S552,USP16,phosphosite-protein
USP16_S552,USP16,phosphosite-protein
TPPP_T14,TPPP,phosphosite-protein
TPPP_T14,TPPP,phosphosite-protein
TPPP_T14,TPPP,phosphosite-protein
TALDO1_S237,TALDO1,phosphosite-protein
TALDO1_S237,TALDO1,phosphosite-protein
MDH1_S241,MDH1,phosphosite-protein
PCM1_S68,PCM1,phosphosite-protein
PIK3C2A,C00076,protein-small_molecule
PIK3C2A,C00076,protein-small_molecule
PIK3C2A,C00282,protein-small_molecule
PIK3C2A,C00282,protein-small_molecule
PIK3C2A,C00305,protein-small_molecule
PIK3C2A,C00305,protein-small_molecule
PIK3C2A,C01328,protein-small_molecule
PIK3C2A,C01328,protein-small_molecule
PIK3C2A,C00002,protein-small_molecule
PIK3C2A,C00008,protein-small_molecule
LZTS2_S570,LZTS2,phosphosite-protein
LZTS2_S570,LZTS2,phosphosite-protein
ZC3HC1_S62,ZC3HC1,phosphosite-protein
PDE8A,C00282,protein-small_molecule
PDE8A,C00282,protein-small_molecule
PDE8A,C00305,protein-small_molecule
PDE8A,C00305,protein-small_molecule
PDE8A,C01328,protein-small_molecule
PDE8A,C01328,protein-small_molecule
PDE8A,C00002,protein-small_molecule
PDE8A,C00575,protein-small_molecule
PDE8A,C00044,protein-small_molecule
MYEF2_S17,MYEF2,phosphosite-protein
MYEF2_S17,MYEF2,phosphosite-protein
CBX3_S93,CBX3,phosphosite-protein
CBX3_S93,CBX3,phosphosite-protein
SLC24A2_S336,SLC24A2,phosphosite-protein
PACS1_T46,PACS1,phosphosite-protein
GORASP2,C00002,protein-small_molecule
GORASP2,C00008,protein-small_molecule
GORASP2,C00044,protein-small_molecule
RAB4B_S193,RAB4B,phosphosite-protein
CAV2_S23,CAV2,phosphosite-protein
OSBP_S238,OSBP,phosphosite-protein
ZBTB7A_S526,ZBTB7A,phosphosite-protein
DYNC1LI2,C00002,protein-small_molecule
DYNC1LI2,C00008,protein-small_molecule
DYNC1LI2,C00044,protein-small_molecule
NUCKS1_S223,NUCKS1,phosphosite-protein
EPS15L1_S355,EPS15L1,phosphosite-protein
ABLIM1_S706,ABLIM1,phosphosite-protein
RIMS1,C00334,protein-small_molecule
RIMS1,C00334,protein-small_molecule
RIMS1,C01996,protein-small_molecule
RIMS1,C01996,protein-small_molecule
RIMS1,C00302,protein-small_molecule
RIMS1,C03758,protein-small_molecule
RIMS1,C03758,protein-small_molecule
RIMS1,C00282,protein-small_molecule
RIMS1,C00282,protein-small_molecule
RIMS1,C00780,protein-small_molecule
